;PRODUCT;TIPO;PRICE
174;       Love Bite | Lip Liner     ;Lip Liner;12
175;       Kristen | Lip Liner     ;Lip Liner;12
176;       Dirty Peach | Lip Liner     ;Lip Liner;12
177;       Brown Sugar | Lip Liner     ;Lip Liner;12
178;       Leo | Lip Kit     ;Lip Kits;29
179;       Brown Sugar | Lip Kit     ;Lip Kits;29
180;       Love Bite | Lip Kit     ;Lip Kits;29
181;       Dirty Peach | Lip Kit     ;Lip Kits;29
182;       Ginger | Lip Kit     ;Lip Kits;29
183;       Kristen | Lip Kit     ;Lip Kits;29
184;       Maliboo | Lip Kit     ;Lip Kits;29
185;       Posie K | Matte Liquid Lipstick     ;Liquid Lipstick;17
186;       Koko K | Matte Liquid Lipstick     ;Liquid Lipstick;17
187;       Posie K | Lip Liner     ;Lip Liner;12
188;       Koko K | Lip Liner     ;Lip Liner;12
189;       Posie K | Gloss     ;Gloss;15
190;       Candy K | Gloss     ;Gloss;15
191;       Koko K | Gloss     ;Gloss;15
192;       Mary Jo K | Lip Kit     ;Lip Kits;29
193;       Mary Jo K | Lip Liner     ;Lip Liner;12
194;       Dolce K | Lip Liner     ;Lip Liner;12
195;       Dolce K | Matte Liquid Lipstick     ;Liquid Lipstick;17
196;       True Brown K | Matte Liquid Lipstick     ;Liquid Lipstick;17
197;       Candy K | Matte Liquid Lipstick     ;Liquid Lipstick;17
198;       Candy K | Lip Liner     ;Lip Liner;12
199;       Mary Jo K | Matte Liquid Lipstick     ;Liquid Lipstick;17
200;       Exposed | Lip Kit     ;Lip Kits;29
201;       King K | Metal     ;Metals;18
202;       So Cute | Gloss     ;Gloss;15
203;       Literally | Gloss     ;Gloss;15
204;       Like | Gloss     ;Gloss;15
205;       22 | Lip Kit     ;Lip Kits;29
206;       Koko K | Lip Kit     ;Lip Kits;29
207;       Posie K | Lip Kit     ;Lip Kits;29
208;       True Brown K | Lip Kit     ;Lip Kits;29
209;       Candy K | Lip Kit     ;Lip Kits;29
210;       Dolce K | Lip Kit     ;Lip Kits;29
